title,author,year,price,category
Il nome della rosa,Umberto Eco,1980,12.22,romanzo storico
Divina Commedia,Dante Alighieri,1320,23.01,poesia epica
I Promessi Sposi,Alessandro Manzoni,1827,22.19,romanzo di formazione
La coscienza di Zeno,Italo Svevo,1923,5.99,romanzo psicologico
Il Gattopardo,Giuseppe Tomasi di Lampedusa,1958,26.69,romanzo sociale
Se questo è un uomo,Primo Levi,1947,18.48,testimonianza
Il deserto dei tartari,Dino Buzzati,1940,10.81,romanzo esistenziale
La luna e i falò,Cesare Pavese,1950,13.44,narrativa autobiografica
Siddharta,Hermann Hesse,1922,28.2,romanzo filosofico
Il piccolo principe,Antoine de Saint-Exupéry,1943,29.28,fiaba filosofica
La metamorfosi,Franz Kafka,1915,14.49,fantastico
Fahrenheit 451,Ray Bradbury,1953,24.18,distopia
1984,George Orwell,1949,9.57,romanzo moderno
Il grande Gatsby,F. Scott Fitzgerald,1925,28.96,romanzo classico
Moby Dick,Herman Melville,1851,14.36,romanzo romantico
Orgoglio e pregiudizio,Jane Austen,1813,14.6,romanzo gotico
Il ritratto di Dorian Gray,Oscar Wilde,1890,13.75,avventura
Guerra e pace,Lev Tolstoj,1869,20.24,romanzo horror
Anna Karenina,Lev Tolstoj,1877,13.05,avventura
Il conte di Montecristo,Alexandre Dumas,1844,5.93,romanzo teatrale
Don Chisciotte della Mancia,Miguel de Cervantes,1605,29.27,romanzo d'amore
Le avventure di Sherlock Holmes,Arthur Conan Doyle,1892,27.61,fantastico
Il processo,Franz Kafka,1925,24.12,romanzo gotico
La nausea,Jean-Paul Sartre,1938,13.14,romanzo di formazione
La peste,Albert Camus,1947,27.82,romanzo di viaggio
Il lupo della steppa,Hermann Hesse,1927,28.63,romanzo epistolare
Il maestro e Margherita,Michail Bulgakov,1966,23.23,fantastico
Lolita,Vladimir Nabokov,1955,15.25,avventura
L'amore ai tempi del colera,Gabriel Garcia Marquez,1985,16.86,fantastico
Cent'anni di solitudine,Gabriel Garcia Marquez,1967,28.7,romanzo di fantascienza
Cime tempestose,Emily Brontë,1847,6.88,romanzo storico
Jane Eyre,Charlotte Brontë,1847,20.48,avventura
Il richiamo della foresta,Jack London,1903,8.31,avventura
Viaggio al centro della Terra,Jules Verne,1864,25.68,dramma romantico
Dracula,Bram Stoker,1897,26.9,avventura
Frankenstein,Mary Shelley,1818,10.81,fantastico
Robinson Crusoe,Daniel Defoe,1719,23.98,avventura
La tempesta,William Shakespeare,1611,24.56,fantastico
